date,time,date_time,roadway,intersection,report_number
1/29/18,1500,1/29/18 15:00,TARRYTOWN RD,AQUEDUCT RD,2018001013
1/31/18,1730,1/31/18 17:30,TARRYTOWN RD,,2018001090
2/6/18,1518,2/6/18 15:18,MANHATTAN AV,TARRYTOWN RD,2018001263
2/7/18,1253,2/7/18 12:53,300 W HARTSDALE AV,,2018001292
2/7/18,1515,2/7/18 15:15,GLENDALE RD,,2018001296
2/8/18,853,2/8/18 8:53,DOBBS FERRY RD,LANDERS MANOR RD,2018001320
2/8/18,1550,2/8/18 15:50,ARDSLEY RD,S CENTRAL AV,2018001340
2/10/18,946,2/10/18 9:46,ARDSLEY RD,,2018001392
2/13/18,812,2/13/18 8:12,JACKSON AV,SPRAIN BROOK PKW,2018001459
2/15/18,1900,2/15/18 19:00,TARRYTOWN RD,,2018001563
2/16/18,1439,2/16/18 14:39,OLD SAW MILL RIVER RD,SAW MILL RD,2018001594
2/17/18,924,2/17/18 9:24,TAXTER RD,WHITE PLAINS RD,2018001615
2/17/18,1926,2/17/18 19:26,SAW MILL RIVER RD,,2018001640
2/17/18,1923,2/17/18 19:23,HARTSDALE RD,DOBBS FERRY RD,2018001643
2/17/18,1933,2/17/18 19:33,ARDSLEY RD,S CENTRAL AV,2018001644
2/20/18,1245,2/20/18 12:45,GRASSLANDS RD,WOODS RD,2018001708
2/21/18,651,2/21/18 6:51,ELM ST,OLD TARRYTOWN RD,2018001731
2/23/18,1137,2/23/18 11:37,W HARTSDALE AV,,2018001811
2/24/18,1810,2/24/18 18:10,E HARTSDALE AC,,2018001866
2/26/18,750,2/26/18 7:50,JACKSON AV,GRASSY SPRAIN RD,2018001907
2/28/18,1500,2/28/18 15:00,S CENTRAL AV,ARDSLEY RD,2018001994
2/28/18,1620,2/28/18 16:20,SAW MILL RIVER RD,PAYNE ST,2018001997
3/2/18,2128,3/2/18 21:28,W HARTSDALE AV,MAPLEWOOD RD,2018002108
3/3/18,1216,3/3/18 12:16,SAW MILL RIVER RD,PAYNE ST,2018002122
3/6/18,830,3/6/18 8:30,WHITE PLAINS RD,,2018002214
3/6/18,1827,3/6/18 18:27,S CENTRAL AV,,2018002245
3/8/18,1230,3/8/18 12:30,TARRYTOWN RD,,2018002299
3/10/18,1238,3/10/18 12:38,ARDSLEY RD,,2018002369
3/11/18,1515,3/11/18 15:15,S CENTRAL AV,,2018002396
3/12/18,946,3/12/18 9:46,JACKSON AV,,2018002418
3/1/18,1715,3/1/18 17:15,SUNRISE LN,,2018002456
3/15/18,1045,3/15/18 10:45,WHITE PLAINS RD,DUNNINGS DR,2018002543
3/15/18,1101,3/15/18 11:01,300 S CENTRAL AV,,2018002545
3/16/18,1102,3/16/18 11:02,W HARTSDALE AV,DOBBS FERRY RD,2018002577
3/16/18,1730,3/16/18 17:30,480 WHITE PLAINS RD,OLD WHITE PLAINS R,2018002593
3/16/18,1719,3/16/18 17:19,GRASSLANDS RD,SAW MILL RD,2018002594
3/17/18,1354,3/17/18 13:54,100 MANHATTAN AV,OAK ST,2018002622
3/17/18,2102,3/17/18 21:02,JACKSON AV,,2018002630
3/19/18,1715,3/19/18 17:15,267 SAW MILL RIVER RD,WAREHOUSE LN,2018002704
3/24/18,1759,3/24/18 17:59,114 S CENTRAL AV,,2018002886
3/26/18,1410,3/26/18 14:10,381 KNOLLWOOD RD,,2018002930
